Level1,Level3,Level2,Var
Teusaquillo,"Cerezo, capuli",13,1878
San Cristóbal,Holly liso,196,1876
Santa Fe,Arboloco,164,1868
Engativá,Acacia japonesa,96,1845
Ciudad Bolívar,Holly liso,193,1840
Usme,"Aliso, fresno, chaquiro",36,1839
Rafael Uribe Uribe,Sauco,28,1824
Usaquén,NN,38,1819
Engativá,"Urapán, Fresno",96,1812
Teusaquillo,Caucho sabanero,13,1780
Rafael Uribe Uribe,Cucharo,28,1780
Suba,Pino libro,37,1746
Rafael Uribe Uribe,Arrayán blanco,28,1741
Usme,"Espino, Garbancillo",36,1735
Barrios Unidos,"Acacia negra, gris",8,1728
Suba,Mano de oso,37,1718
Kennedy,Eucalipto común,138,1693
Usaquén,Acacia morada,38,1683
San Cristóbal,"Ciprés, Pino ciprés, Pino",196,1669
Rafael Uribe Uribe,Tuno roso,28,1640
Engativá,Araucaria,96,1633
Rafael Uribe Uribe,Eucalipto común,28,1614
Puente Aranda,Caucho benjamín,16,1611
Teusaquillo,Holly liso,13,1606
Puente Aranda,Caucho sabanero,16,1603
San Cristóbal,Salvio negro,196,1595
Suba,Sietecueros nazareno,37,1593
Santa Fe,"Caballero de la noche, Jazmín, Dama de noche.",164,1592
Rafael Uribe Uribe,Holly liso,28,1582
Usaquén,"Aliso, fresno, chaquiro",38,1581
San Cristóbal,"Acacia negra, gris",196,1579
Fontibón,Eugenia,102,1571
Tunjuelito,Caucho sabanero,27,1561
Usme,Cucharo,36,1532
Usme,Tominejero,36,1526
Bosa,Caucho sabanero,147,1524
Ciudad Bolívar,Caucho sabanero,193,1520
Santa Fe,Caballero de la noche,164,1512
Usaquén,Cayeno,38,1491
Bosa,Falso pimiento,147,1483
Usme,Tuno roso,36,1469
Teusaquillo,NN,13,1469
San Cristóbal,"Urapán, Fresno",196,1450
Ciudad Bolívar,Jazmín de la china,193,1447
Suba,"Sangregao, drago, croto",37,1437
Ciudad Bolívar,"Chicalá, chirlobirlo, flor amarillo",193,1432
Suba,Crucito,37,1430
Puente Aranda,"Palma yuca, palmiche",16,1419
Kennedy,Pino libro,138,1402
Puente Aranda,Falso pimiento,16,1377
Suba,"Cedro, cedro andino, cedro clavel",37,1370
Ciudad Bolívar,Acacia japonesa,193,1337
Usaquén,Higuerillo,38,1336
Teusaquillo,Caucho benjamín,13,1336
Engativá,"Aliso, fresno, chaquiro",96,1332
Tunjuelito,Holly liso,27,1328
Engativá,Eucalipto común,96,1324
Santa Fe,"Ciprés, Pino ciprés, Pino",164,1321
Usaquén,Caucho sabanero,38,1313
Puente Aranda,Holly liso,16,1306
Usme,"Buganbil, veranera",217,1300
Bosa,Holly liso,147,1299
San Cristóbal,"Jazmín del cabo, laurel huesito",196,1295
San Cristóbal,"Aliso, fresno, chaquiro",196,1291
Rafael Uribe Uribe,"Urapán, Fresno",28,1290
Suba,"Eucalipto de flor, eucalipto lavabotella, Calistemo",37,1285
Puente Aranda,Eugenia,16,1285
Chapinero,Cordoncillo,110,1284
Santa Fe,Eucalipto común,164,1281
Usaquén,Arrayán blanco,38,1280
Puente Aranda,Cayeno,16,1273
Usaquén,Pino pátula,38,1270
Chapinero,"Cerezo, capuli",110,1268
Suba,"Espino, Garbancillo",37,1267
Suba,Pino pátula,37,1263
Suba,"Pino colombiano, pino de pacho, pino romerón",37,1260
Teusaquillo,Guayacán de Manizales,13,1259
Bosa,Sauco,147,1253
Suba,Garrocho,37,1215
Usaquén,"Liquidámbar, estoraque",38,1206
Barrios Unidos,Sauco,8,1195
Kennedy,Durazno comun,138,1192
Usme,"Raque, San juanito",36,1183
Kennedy,"Eucalipto de flor, eucalipto lavabotella, Calistemo",138,1181
Teusaquillo,"Aliso, fresno, chaquiro",13,1178
Ciudad Bolívar,"Palma yuca, palmiche",193,1175
Suba,"Schefflera, Pategallina hojipequeña",37,1163
Santa Fe,"Cerezo, capuli",164,1155
Ciudad Bolívar,"Jazmín del cabo, laurel huesito",193,1145
Suba,"Nogal, cedro nogal, cedro negro",37,1135
Teusaquillo,"Chicalá, chirlobirlo, flor amarillo",13,1135
Puente Aranda,"Cerezo, capuli",16,1134
Barrios Unidos,Acacia japonesa,8,1130
Suba,Falso pimiento,37,1128
Fontibón,Roble,102,1120
Barrios Unidos,"Jazmín del cabo, laurel huesito",8,1120
Fontibón,Holly liso,102,1118
Teusaquillo,"Palma yuca, palmiche",13,1111
Barrios Unidos,Eugenia,8,1106
Fontibón,"Cerezo, capuli",102,1101
Fontibón,Guayacán de Manizales,102,1095
Chapinero,"Liquidámbar, estoraque",110,1092
Usme,Acacia japonesa,36,1084
San Cristóbal,Amarguero amarillo,196,1083
Usaquén,Roble,38,1076
Usaquén,"Eucalipto de flor, eucalipto lavabotella, Calistemo",38,1073
San Cristóbal,Arboloco,196,1072
Chapinero,Guayacán de Manizales,110,1069
Teusaquillo,"Ciprés, Pino ciprés, Pino",13,1066
Usaquén,Fucsia,38,1062
Suba,Borrachero blanco,37,1061
Suba,Holly espinoso,37,1058
Fontibón,Falso pimiento,102,1057
Tunjuelito,Sauco,27,1051
Tunjuelito,Eugenia,27,1043
Engativá,Roble,96,1036
Rafael Uribe Uribe,"Palma yuca, palmiche",28,1034
Rafael Uribe Uribe,"Jazmín del cabo, laurel huesito",28,1031
Engativá,"Nogal, cedro nogal, cedro negro",96,1021
Usme,Holly liso,36,1014
Tunjuelito,"Urapán, Fresno",27,1014
Engativá,"Liquidámbar, estoraque",96,1014
Teusaquillo,Falso pimiento,13,1010
Usme,"Ciprés, Pino ciprés, Pino",36,1009
Suba,Jazmín de la china,37,1007
Suba,"Jazmin del cabo, laurel huesito",2,1005
Suba,Alcaparro enano,37,1004
Fontibón,Caucho sabanero,102,1002
Tunjuelito,Eucalipto,27,998
Usme,Cerezo,36,996
Chapinero,Caucho sabanero,110,988
Kennedy,"Palma de yuca, Palma de bayoneta",138,987
Teusaquillo,"Acacia baracatinga, acacia sabanera, acacia nigra",13,977
Usaquén,Araucaria,38,974
Rafael Uribe Uribe,Cerezo,28,969
Rafael Uribe Uribe,"Ciprés, Pino ciprés, Pino",28,969
Puente Aranda,"Chicalá, chirlobirlo, flor amarillo",16,964
Fontibón,Caucho benjamín,102,957
Kennedy,"Schefflera, Pategallina hojipequeña",138,943
Bosa,Falso pimiento,182,942
Teusaquillo,"Eucalipto de flor, eucalipto lavabotella, Calistemo",13,941
Santa Fe,Tuno,164,938
Ciudad Bolívar,Falso pimiento,193,938
Engativá,Sauce llorón,96,937
San Cristóbal,Eugenia,196,928
Ciudad Bolívar,Holly liso,195,925
Tunjuelito,Falso pimiento,27,919
Suba,Caucho,37,905
Puente Aranda,"Ciprés, Pino ciprés, Pino",16,903
San Cristóbal,Tuno esmeraldo,196,899
Engativá,Falso pimiento,96,898
Bosa,"Chicalá, chirlobirlo, flor amarillo",147,894
Santa Fe,"Jazmín del cabo, laurel huesito",164,893
Usaquén,Falso pimiento,38,884
San Cristóbal,Guayacán de Manizales,196,883
Usaquén,Alcaparro doble,38,882
Usme,Caucho sabanero,36,874
Ciudad Bolívar,"Buganbil, veranera",202,874
Fontibón,"Chicalá, chirlobirlo, flor amarillo",102,871
Suba,Arboloco,37,871
Kennedy,Caucho,138,868
Tunjuelito,Jazmín de la china,27,867
Chapinero,Roble,110,866
Santa Fe,Cucubo,164,866
Kennedy,Abutilón rojo y amarillo,138,865
Usaquén,Corono,38,861
Usme,Cordoncillo,36,861
Rafael Uribe Uribe,Mortiño,28,860
Kennedy,"Schefflera, Pategallina hojigrande",138,859
Teusaquillo,Araucaria,13,857
Kennedy,"Aliso, fresno, chaquiro",138,855
Suba,Sietecueros real,37,855
Puente Aranda,Guayacán de Manizales,16,851
Teusaquillo,Eugenia,13,849
Fontibón,"Acacia negra, gris",102,845
Teusaquillo,Cayeno,13,844
Rafael Uribe Uribe,"Acacia negra, gris",28,835
Engativá,Pino pátula,96,830
Suba,Durazno comun,37,829
Usme,Arboloco,36,828
Rafael Uribe Uribe,"Chicalá, chirlobirlo, flor amarillo",28,823
Puente Aranda,"Caballero de la noche, Jazmín, Dama de noche.",16,822
Usme,"Buganbil, veranera",36,818
Suba,Salvio negro,37,817
Kennedy,Acacia morada,138,812
Barrios Unidos,Guayacán de Manizales,8,811
Ciudad Bolívar,Cerezo,193,809
Usme,Garrocho,36,806
Suba,Calistemo llorón,37,806
Chapinero,"Acacia baracatinga, acacia sabanera, acacia nigra",110,804
San Cristóbal,Tuno roso,196,804
Usme,Borrachero blanco,36,803
Engativá,"Schefflera, Pategallina hojipequeña",96,803
Engativá,Abutilón rojo y amarillo,96,795
La Candelaria,Acacia japonesa,191,790
Tunjuelito,Acacia japonesa,27,788
Antonio Nariño,"Urapán, Fresno",26,788
Bosa,Jazmín de la china,147,785
Barrios Unidos,Cayeno,8,785
Santa Fe,"Duraznillo, velitas",164,779
Barrios Unidos,Caucho benjamín,8,777
Ciudad Bolívar,"Caballero de la noche, Jazmín, Dama de noche.",193,777
Rafael Uribe Uribe,Eucalipto,28,770
Engativá,Pino libro,96,768
Suba,Tuno esmeraldo,2,768
San Cristóbal,Borrachero blanco,196,765
Usme,Uva camarona,36,765
Santa Fe,Tuno roso,164,761
Santa Fe,Caucho sabanero,164,759
Rafael Uribe Uribe,"Acacia baracatinga, acacia sabanera, acacia nigra",28,756
Suba,Eugenia,2,755
Rafael Uribe Uribe,Chilco,28,752
Chapinero,Eucalipto común,110,739
San Cristóbal,"Palma yuca, palmiche",196,739
Suba,Magnolio,37,733
Chapinero,"Palma yuca, palmiche",110,731
Engativá,"Eucalipto de flor, eucalipto lavabotella, Calistemo",96,731
Ciudad Bolívar,Eugenia,193,730
Teusaquillo,"Sangregao, drago, croto",13,727
Suba,"Palma de yuca, Palma de bayoneta",37,726
Fontibón,Eucalipto,102,724
Suba,Feijoa,37,724
Engativá,Acacia morada,96,721
Barrios Unidos,Caucho sabanero,8,721
Bosa,"Acacia baracatinga, acacia sabanera, acacia nigra",147,718
San Cristóbal,Pino pátula,196,716
Ciudad Bolívar,"Ciprés, Pino ciprés, Pino",193,713
Engativá,Higuerillo,96,711
Rafael Uribe Uribe,Eugenia,28,709
Bosa,Eugenia,147,707
Suba,"Duraznillo, velitas",37,706
Suba,Fucsia arbustiva,2,706
Kennedy,Jazmín de la china,138,701
Fontibón,Cayeno,102,701
Usaquén,Abutilón rojo y amarillo,38,696
Santa Fe,Helecho palma,164,693
Ciudad Bolívar,Holly liso,218,693
Kennedy,Naranjo,138,688
San Cristóbal,Hayuelo,196,683
Engativá,"Schefflera, Pategallina hojigrande",96,682
Usme,"Jazmín del cabo, laurel huesito",36,681
Usaquén,Sietecueros nazareno,38,679
Engativá,Jazmín de la china,96,676
Suba,Fucsia,37,675
Suba,Eucalipto,37,674
Rafael Uribe Uribe,Acacia japonesa,28,674
