Level1,Level3,Level2,Var
Puente Aranda,"Eucalipto de flor, eucalipto lavabotella, Calistemo",16,335
Usme,Falso pimiento,36,334
Kennedy,Sombrilla japonesa,138,332
Antonio Nariño,Acacia japonesa,26,332
San Cristóbal,Roble,196,331
Bosa,Sauce llorón,147,331
Kennedy,Mandarina,138,331
Engativá,Hayuelo,96,331
Suba,Mulato,37,330
Teusaquillo,Sauce llorón,13,330
Barrios Unidos,NN,8,329
San Cristóbal,"Caballero de la noche, Jazmín, Dama de noche.",196,327
Santa Fe,Arrayán blanco,164,326
Tunjuelito,"Palma yuca, palmiche",27,324
Suba,Eucalipto plateado,37,322
Rafael Uribe Uribe,Durazno comun,28,322
San Cristóbal,Abutilón rojo y amarillo,196,321
Tunjuelito,"Jazmin del cabo, laurel huesito",27,319
Usme,"Tibar, pagoda o rodamonte",36,318
Kennedy,Mangle de tierra fria,138,318
Usaquén,Papayuelo,38,316
Fontibón,"Pino colombiano, pino de pacho, pino romerón",102,316
Puente Aranda,"Caucho de la india, caucho",16,315
Ciudad Bolívar,Corono,195,315
Suba,Trompeto,37,314
Kennedy,Holly liso,143,313
Usaquén,Borrachero blanco,38,312
Tunjuelito,"Chicalá, chirlobirlo, flor amarillo",27,312
Teusaquillo,Jazmín de la china,13,312
Teusaquillo,Magnolio,13,312
Puente Aranda,NN,16,312
Santa Fe,Borrachero rojo,164,311
San Cristóbal,Durazno comun,196,311
Bosa,Aligustre del Japon,147,310
Suba,Mandarina,37,310
Rafael Uribe Uribe,"Eucalipto de flor, eucalipto lavabotella, Calistemo",28,310
Chapinero,"Aliso, fresno, chaquiro",110,309
Tunjuelito,NN,27,309
Suba,Cajeto,2,309
Antonio Nariño,Holly liso,26,309
Usaquén,Tomatillo,38,308
Bosa,Chilco,182,308
Suba,Cucharo,2,308
Barrios Unidos,"Liquidámbar, estoraque",8,308
Teusaquillo,Caucho tequendama,13,308
Antonio Nariño,"Eucalipto de flor, eucalipto lavabotella, Calistemo",26,308
Chapinero,Cucubo,110,307
Bosa,Ligustrum,158,307
Suba,Mortiño,37,307
Ciudad Bolívar,"Jazmin del cabo, laurel huesito",195,307
Engativá,Eucalipto pomarroso,96,306
Usaquén,Cerezo,38,303
Bosa,"Urapán, Fresno",147,303
Puente Aranda,Pino pátula,16,303
Usaquén,Eucalipto plateado,38,302
Chapinero,"Pino colombiano, pino de pacho, pino romerón",110,302
Santa Fe,Holly liso,164,302
Kennedy,"Sangregao, drago, croto",138,301
Usaquén,Eucalipto pomarroso,38,300
Bosa,"Chicala, chirlobirlo, flor amarillo",182,300
Usaquén,"Cipres, Pino cipres, Pino",64,298
Kennedy,Roble,138,298
Kennedy,"Jazmin del cabo, laurel huesito",142,295
Ciudad Bolívar,Falso pimiento,195,295
Barrios Unidos,Acacia morada,8,294
San Cristóbal,"Chicalá, chirlobirlo, flor amarillo",196,293
Kennedy,Calistemo llorón,138,293
Usme,Té de Bogotá,36,292
Suba,Ligustrum,61,292
Ciudad Bolívar,Calistemo llorón,193,292
Fontibón,Jazmín de la china,102,291
Engativá,Calistemo llorón,96,291
Engativá,Limón,96,291
San Cristóbal,Caucho benjamín,196,290
Usme,Roble,204,290
Fontibón,Roble,6,290
Fontibón,"Sangregao, drago, croto",102,290
Barrios Unidos,"Caballero de la noche, Jazmín, Dama de noche.",8,289
Kennedy,Eucalipto común,157,288
Suba,Eucalipto común,2,288
Tunjuelito,Jazmin de la china,27,287
Rafael Uribe Uribe,"Buganbil, veranera",33,287
Kennedy,Jazmin de la china,143,286
Kennedy,"Cajeto, garagay, urapo",23,285
Fontibón,"Chicala, chirlobirlo, flor amarillo",118,285
Antonio Nariño,Caucho benjamín,26,285
Bosa,Eucalipto común,147,283
Bosa,Ligustrum,182,283
Bosa,Pino libro,147,283
Kennedy,Alcaparro enano,138,283
Engativá,Guayacan de Manizales,96,283
Antonio Nariño,Falso pimiento,26,283
Chapinero,Acacia,110,282
Kennedy,"Cajeto, garagay, urapo",143,282
Fontibón,"Palma de cera, Palma blanca",6,281
Engativá,Aguacate,96,281
Antonio Nariño,Caucho sabanero,26,280
Ciudad Bolívar,"Chicala, chirlobirlo, flor amarillo",202,280
Engativá,Caucho tequendama,96,279
Suba,Chilco,2,279
Teusaquillo,Schefflera,13,279
San Cristóbal,Cordoncillo,196,278
Bosa,Holly liso,190,277
Suba,Gaque,37,277
Teusaquillo,Pino pátula,13,277
Usme,"Cedro, cedro andino, cedro clavel",36,276
Ciudad Bolívar,Brevo,193,276
Bosa,"Chicala, chirlobirlo, flor amarillo",147,275
Engativá,Feijoa,96,275
Suba,Caucho tequendama,37,275
Engativá,"Cipres, Pino cipres, Pino",107,274
Suba,Acacia de jardín,37,274
Teusaquillo,"Tibar, pagoda o rodamonte",13,274
Antonio Nariño,"Palma yuca, palmiche",26,274
Suba,Acacia,37,273
Puente Aranda,Pino candelabro,16,273
Chapinero,"Liquidambar, estoraque",110,271
Usaquén,"Jazmin del cabo, laurel huesito",38,270
Rafael Uribe Uribe,"Cajeto, garagay, urapo",28,269
Usaquén,Eucalipto,38,266
Kennedy,Alcaparro doble,138,266
Ciudad Bolívar,"Cajeto, garagay, urapo",193,266
Ciudad Bolívar,Pino libro,193,266
Engativá,Alcaparro enano,96,264
Usaquén,Arboloco,38,263
Usme,Sauce llorón,36,263
Suba,Roble,2,263
Teusaquillo,Holly espinoso,13,263
Antonio Nariño,"Acacia negra, gris",26,263
Fontibón,Abutilón rojo y amarillo,102,262
Fontibón,Pino pátula,102,262
Fontibón,"Cajeto, garagay, urapo",102,261
Usaquén,Jazmín de la china,38,260
Chapinero,Arrayán blanco,110,260
Chapinero,Sauce llorón,110,260
Santa Fe,Raphiolepys,164,259
Suba,Carbonero rojo,37,259
Santa Fe,"Liquidambar, estoraque",356,258
Usme,Uva de Anís,36,258
Barrios Unidos,Araucaria,8,258
Los Mártires,"Jazmín del cabo, laurel huesito",165,258
San Cristóbal,Angelito,196,257
Tunjuelito,Guayacán de Manizales,27,257
Kennedy,Holly liso,162,257
Suba,"Palma de cera, Palma blanca",37,257
Suba,Palma fénix,37,257
Ciudad Bolívar,Ligustrum,193,257
Usaquén,Mermelada,38,256
Usme,"Duraznillo, velitas",36,256
Fontibón,Alcaparro doble,102,256
Rafael Uribe Uribe,"Cedrillo, Yuco",28,256
Usme,Holly espinoso,342,254
Usaquén,Tuno roso,38,253
Suba,Ciro,37,253
Usaquén,Schefflera,38,252
Usme,Mortillo,204,252
Kennedy,"Chicala, chirlobirlo, flor amarillo",157,252
Santa Fe,Borrachero blanco,164,251
San Cristóbal,Cucharo,196,251
Kennedy,Ligustrum,142,251
Usaquén,Jazmin de la china,56,250
Teusaquillo,Sietecueros real,13,250
Santa Fe,Pino candelabro,164,248
Usme,Durazno comun,36,247
Engativá,Borrachero blanco,96,247
Kennedy,"Buganbil, veranera",148,246
Kennedy,Calistemo lloron,23,246
Suba,"Cajeto, garagay, urapo",2,246
Chapinero,"Caballero de la noche, Jazmín, Dama de noche.",110,245
San Cristóbal,"Cipres, Pino cipres, Pino",192,245
Tunjuelito,Guayacan de Manizales,27,245
Bosa,Hayuelo,147,245
Rafael Uribe Uribe,Pino pátula,28,244
Usme,"Aliso, fresno, chaquiro",204,243
San Cristóbal,Sietecueros nazareno,196,241
Teusaquillo,Calistemo llorón,13,241
Usme,Eugenia,36,239
Bosa,Holly liso,182,239
Kennedy,Holly liso,142,239
Teusaquillo,Eucalipto pomarroso,13,239
Tunjuelito,"Cajeto, garagay, urapo",27,238
Engativá,Sietecueros real,96,238
Ciudad Bolívar,Mano de oso,195,238
Santa Fe,Cipres italiano,164,236
Kennedy,Caucho tequendama,138,236
Puente Aranda,Acacia morada,16,236
Usaquén,"Caucho de la india, caucho",38,235
Engativá,Magnolio,96,235
Chapinero,"Nogal, cedro nogal, cedro negro",110,234
Kennedy,"Chicala, chirlobirlo, flor amarillo",143,234
Usme,Guayacán de Manizales,36,233
Engativá,Mandarina,96,233
Chapinero,Eucalipto pomarroso,110,232
Kennedy,Acacia de jardín,138,232
Bosa,"Jazmin del cabo, laurel huesito",182,231
Bosa,Naranjo,147,231
Fontibón,NN,102,231
Chapinero,Abutilón rojo y amarillo,110,230
Kennedy,"Liquidambar, estoraque",138,230
Usme,Ligustrum,212,228
Suba,"Nogal, cedro nogal, cedro negro",2,228
Teusaquillo,Carbonero rojo,13,228
Fontibón,Acacia,102,227
Los Mártires,"Palma yuca, palmiche",165,227
Fontibón,Pino libro,102,226
Suba,Cipres italiano,37,226
Santa Fe,"Nogal, cedro nogal, cedro negro",164,225
San Cristóbal,Alcaparro doble,196,225
San Cristóbal,Tabaquillo,196,225
Barrios Unidos,"Palma de cera, Palma blanca",8,224
Tunjuelito,Roble,27,223
Bosa,"Acacia negra, gris",147,223
Bosa,"Cajeto, garagay, urapo",182,223
Teusaquillo,Eucalipto común,13,223
Kennedy,Calistemo lloron,143,222
Kennedy,Eugenia,143,222
Fontibón,Durazno comun,102,222
Fontibón,Roble,12,222
Kennedy,"Ciprés Japones, criptomeria",138,219
Los Mártires,Sauco,165,219
Tunjuelito,"Cerezo, capuli",27,218
Bosa,Falso pimiento,190,218
Engativá,Palma roebeleni,96,218
Bosa,"Palma de yuca, Palma de bayoneta",147,217
Kennedy,Guayacan de Manizales,142,217
Kennedy,Jazmin de la china,23,217
Engativá,Cucharo,96,217
Barrios Unidos,"Palma de yuca, Palma de bayoneta",8,217
Los Mártires,"Nogal, cedro nogal, cedro negro",165,217
Ciudad Bolívar,"Buganbil, veranera",198,217
Suba,Tinto,2,216
Barrios Unidos,"Nogal, cedro nogal, cedro negro",8,216
Usaquén,Eugenia,97,215
Tunjuelito,"Ciprés, Pino ciprés, Pino",27,215
Kennedy,Feijoa,138,215
Fontibón,Hayuelo,102,215
Suba,"Urapán, Fresno",2,215
Teusaquillo,Feijoa,13,215
Antonio Nariño,"Cerezo, capuli",26,215
Puente Aranda,"Schefflera, Pategallina hojigrande",16,215
Bosa,Corono,182,214
Antonio Nariño,Cayeno,26,214
Puente Aranda,Brevo,16,214
Suba,Cipres,37,213
Usaquén,Eugenia,94,212
Santa Fe,Guayacán de Manizales,164,212
Santa Fe,"Sangregao, drago, croto",164,212
Usme,Roble,36,212
Bosa,Durazno comun,147,212
Kennedy,Holly liso,23,212
Teusaquillo,Mano de oso,13,212
Chapinero,Araucaria,110,211
San Cristóbal,"Raque, San juanito",196,211
Kennedy,Falso pimiento,143,211
Chapinero,Laurel de cera (hoja pequeña),110,210
Chapinero,Pino candelabro,110,210
Suba,Tinto,47,210
San Cristóbal,Mortiño,196,209
Kennedy,Falso pimiento,23,209
Kennedy,"Jazmin del cabo, laurel huesito",157,209
Suba,Guayacan de Manizales,61,209
Antonio Nariño,Milflores,26,209
Kennedy,Calistemo lloron,18,208
Fontibón,Sietecueros nazareno,102,208
Puente Aranda,Eucalipto común,16,208
Puente Aranda,"Pino colombiano, pino de pacho, pino romerón",16,208
Ciudad Bolívar,Chilco,195,208
Usaquén,"Espino, Garbancillo",38,206
Chapinero,Cayeno,110,206
Santa Fe,Jazmín de la china,164,206
San Cristóbal,Tominejero,196,206
Barrios Unidos,Sietecueros nazareno,8,206
Kennedy,Aguacate,138,205
Chapinero,"Eucalipto de flor, eucalipto lavabotella, Calistemo",110,204
Santa Fe,"Acacia baracatinga, acacia sabanera, acacia nigra",164,204
Fontibón,Palma de datiles,102,204
Engativá,Palma payanesa,96,204
Suba,Guayacan de Manizales,93,204
Ciudad Bolívar,Falso pimiento,202,204
Usaquén,Mirto,38,203
Santa Fe,Roble,164,203
Puente Aranda,Caucho tequendama,16,203
Ciudad Bolívar,Hayuelo,195,203
Los Mártires,"Palma de cera, Palma blanca",165,202
Puente Aranda,Abutilón rojo y amarillo,16,202
Puente Aranda,"Cedro, cedro andino, cedro clavel",20,202
Ciudad Bolívar,Guayacan de Manizales,195,202
Tunjuelito,"Eucalipto de flor, eucalipto lavabotella, Calistemo",27,201
Suba,Uva de Anís,37,201
Ciudad Bolívar,Holly espinoso,193,201
Engativá,"Chicala, chirlobirlo, flor amarillo",107,200
Suba,Guayacan de Manizales,60,200
Usaquén,"Chicala, chirlobirlo, flor amarillo",94,199
San Cristóbal,"Aliso, fresno, chaquiro",204,199
Fontibón,Holly espinoso,102,199
Suba,Fucsia boliviana,2,199
Puente Aranda,Jazmín de la china,16,199
Rafael Uribe Uribe,"Espino, Garbancillo",28,199
Kennedy,Eucalipto pomarroso,138,198
Teusaquillo,Guayacan de Manizales,13,198
Los Mártires,Caucho benjamín,165,198
Barrios Unidos,Jazmín de la china,8,197
Antonio Nariño,"Chicala, chirlobirlo, flor amarillo",26,197
Chapinero,Tuno roso,110,196
Rafael Uribe Uribe,Roble,30,196
Usaquén,Mortiño,38,195
Santa Fe,Falso pimiento,164,195
Teusaquillo,"Cedro, cedro andino, cedro clavel",13,195
Puente Aranda,Naranjo,16,195
Kennedy,Falso pimiento,18,194
Engativá,Mano de oso,96,194
Barrios Unidos,"Cedro, cedro andino, cedro clavel",8,194
Usaquén,Eugenia,105,193
Kennedy,Araucaria crespa,138,193
Kennedy,"Cajeto, garagay, urapo",142,193
Kennedy,Jazmin de la china,142,193
Kennedy,"Tibar, pagoda o rodamonte",138,193
Engativá,Roble,98,193
Suba,Eugenia,61,193
Suba,Tominejero,2,193
Barrios Unidos,"Acacia baracatinga, acacia sabanera, acacia nigra",10,193
Teusaquillo,Durazno comun,13,193
Teusaquillo,Guamo santafereño,13,193
La Candelaria,"Palma de cera, Palma blanca",191,193
Usaquén,Roble,97,192
Santa Fe,Papayuelo,164,192
Fontibón,Pino candelabro,102,192
Ciudad Bolívar,"Espino, Garbancillo",193,192
San Cristóbal,Alcaparro enano,196,191
Ciudad Bolívar,Cajeto,195,191
Ciudad Bolívar,"Schefflera, Pategallina hojipequeña",193,191
Usaquén,Uva de Anís,38,190
Engativá,"Duraznillo, velitas",96,190
La Candelaria,Caucho sabanero,191,190
Ciudad Bolívar,Jazmin de la china,193,190
Kennedy,Ciro,138,189
Ciudad Bolívar,"Jazmin del cabo, laurel huesito",218,189
Usaquén,"Liquidambar, estoraque",56,188
Usaquén,"Schefflera, Pategallina hojipequeña",38,188
Usme,Alcaparro enano,36,188
Bosa,Mangle de tierra fria,182,188
Kennedy,Chiripique,143,188
San Cristóbal,Tomatillo,196,187
Bosa,"Eucalipto de flor, eucalipto lavabotella, Calistemo",147,187
Suba,Guayacan de Manizales,2,187
Teusaquillo,Pino candelabro,13,187
Antonio Nariño,"Ciprés, Pino ciprés, Pino",26,187
Usaquén,Feijoa,38,186
Chapinero,Caballero de la noche,110,186
Usme,Cayeno,36,186
Engativá,"Liquidambar, estoraque",98,186
Barrios Unidos,Arrayán blanco,8,186
Rafael Uribe Uribe,Abutilón rojo y amarillo,28,186
Kennedy,Ciprés enano,138,185
Ciudad Bolívar,Arrayán blanco,193,185
Usaquén,"Pino colombiano, pino de pacho, pino romeron",38,184
Kennedy,Sietecueros real,138,184
Barrios Unidos,"Nogal, cedro nogal, cedro negro",10,184
Teusaquillo,Mermelada,13,184
Bosa,Acacia japonesa,147,183
Suba,Holly liso,2,183
Engativá,Garrocho,96,182
Barrios Unidos,Sietecueros real,8,182
Teusaquillo,Mimbre,13,182
Fontibón,"Jazmin del cabo, laurel huesito",108,181
San Cristóbal,Jazmin de la china,32,180
Ciudad Bolívar,Holly liso,197,180
Chapinero,Holly liso,111,179
Usme,Arrayan,204,179
Kennedy,Guayacan de Manizales,143,179
Suba,"Chicala, chirlobirlo, flor amarillo",355,179
Teusaquillo,Higuerillo,13,179
Suba,"Chicala, chirlobirlo, flor amarillo",60,178
Suba,"Liquidambar, estoraque",93,178
Puente Aranda,Roble,16,178
Ciudad Bolívar,Abutilón rojo y amarillo,193,178
Bosa,Corono,147,177
Kennedy,Cayeno,162,177
Fontibón,"Schefflera, Pategallina hojigrande",102,177
Usaquén,Salvio negro,38,176
Fontibón,Cayeno,113,176
Barrios Unidos,Eucalipto común,8,176
Teusaquillo,"Palma de cera, Palma blanca",15,176
Chapinero,Fucsia boliviana,111,174
Chapinero,"Palma de cera, Palma blanca",110,174
Bosa,Jazmin de la china,147,174
Suba,"Chicala, chirlobirlo, flor amarillo",351,174
Suba,"Chicala, chirlobirlo, flor amarillo",61,174
Suba,Cordoncillo,2,174
Suba,Sangregado ,2,174
Puente Aranda,"Schefflera, Pategallina hojipequeña",16,174
Ciudad Bolívar,Caucho tequendama,195,174
Chapinero,Sietecueros nazareno,110,173
Usme,Papayuelo,36,173
Bosa,Roble,147,173
Teusaquillo,Hayuelo,13,173
Santa Fe,Abutilón rojo y amarillo,164,172
Usme,Mano de oso,36,172
Tunjuelito,Sauce llorón,27,172
Kennedy,Roble,23,172
Fontibón,Eugenia,108,172
Suba,"Cipres, Pino cipres, Pino",53,172
Puente Aranda,Eucalipto pomarroso,16,172
Santa Fe,"Aliso, fresno, chaquiro",164,170
Teusaquillo,"Cariseco, Tres hojas",13,170
Los Mártires,Roble,165,170
Santa Fe,Holly espinoso,164,169
Fontibón,Hayuelo,118,169
Usme,Cajeto,212,168
Suba,Algodón extranjero,37,168
La Candelaria,"Cajeto, garagay, urapo",191,168
Ciudad Bolívar,"Schefflera, Pategallina hojigrande",193,168
Chapinero,Alcaparro doble,110,167
Kennedy,Guayacan de Manizales,23,167
San Cristóbal,"Eucalipto de flor, eucalipto lavabotella, Calistemo",196,166
Suba,"Aliso, fresno, chaquiro",61,166
Suba,Sauco,2,166
Rafael Uribe Uribe,Arboloco,28,166
Usaquén,Fucsia arbustiva,97,165
Kennedy,"Chicala, chirlobirlo, flor amarillo",21,165
Los Mártires,"Liquidámbar, estoraque",165,165
Ciudad Bolívar,Caucho tequendama,193,165
Tunjuelito,"Palma de yuca, Palma de bayoneta",27,164
Engativá,Palma fénix,96,164
Rafael Uribe Uribe,"Aliso, fresno, chaquiro",28,164
Rafael Uribe Uribe,Brevo,28,164
Santa Fe,"Pino colombiano, pino de pacho, pino romerón",164,163
Bosa,Dividivi de tierra fria,182,163
Suba,"Acacia baracatinga, acacia sabanera, acacia nigra",61,163
Suba,Arboloco,2,163
Fontibón,Alcaparro enano,102,162
Suba,"Cerezo, capuli",37,162
Suba,"Nogal, cedro nogal, cedro negro",53,162
Suba,Roble,61,162
Los Mártires,Holly liso,165,162
Usme,"Chicala, chirlobirlo, flor amarillo",36,161
Kennedy,Alcaparro enano,142,161
Fontibón,Eugenia,113,161
Barrios Unidos,"Sangregao, drago, croto",8,161
Rafael Uribe Uribe,Pino candelabro,28,161
Ciudad Bolívar,Ciro,193,161
Kennedy,Eugenia,23,160
Suba,"Cerezo, capuli",2,160
San Cristóbal,Fucsia,196,159
Usme,"Duraznillo, velitas",204,159
Kennedy,"Chicala, chirlobirlo, flor amarillo",18,159
Suba,Jazmin de la china,53,159
Suba,Palma roebeleni,37,159
Teusaquillo,Palma fénix,13,159
Los Mártires,Cayeno,165,159
Puente Aranda,"Nogal, cedro nogal, cedro negro",16,159
Santa Fe,Eugenia,164,158
San Cristóbal,Brevo,196,158
Engativá,Roble,107,158
Suba,"Palma de cera, Palma blanca",61,158
Suba,Palo blanco,2,158
Ciudad Bolívar,Limón,193,158
Fontibón,"Cipres, Pino cipres, Pino",6,157
Barrios Unidos,Eugenia,9,157
Usaquén,Carbonero rojo,38,156
Kennedy,Acacia,138,156
Engativá,"Chicala, chirlobirlo, flor amarillo",96,156
Suba,"Aliso, fresno, chaquiro",2,156
Barrios Unidos,"Chicala, chirlobirlo, flor amarillo",9,156
Rafael Uribe Uribe,Alcaparro doble,28,156
Rafael Uribe Uribe,"Schefflera, Pategallina hojipequeña",28,156
Santa Fe,Caucho tequendama,164,155
Santa Fe,Eucalipto pomarroso,164,155
Usme,"Aliso, fresno, chaquiro",212,155
Bosa,Eugenia,182,155
San Cristóbal,"Chicala, chirlobirlo, flor amarillo",196,154
Engativá,Papayuelo,96,154
Suba,Sauce lloron,61,154
Chapinero,Eugenia,111,153
San Cristóbal,"Espino, Garbancillo",196,153
San Cristóbal,Roble,204,153
Bosa,Dividivi de tierra fria,190,153
Bosa,Falso pimiento,161,153
Engativá,"Jazmin del cabo, laurel huesito",107,153
Suba,Corono,2,153
Suba,Mangle de tierra fria,61,153
Barrios Unidos,"Pino colombiano, pino de pacho, pino romerón",8,153
Rafael Uribe Uribe,"Caucho de la india, caucho",28,153
Usaquén,Roble,56,152
Usaquén,Roble,64,152
Chapinero,Cerezo,110,152
Suba,"Acacia negra, gris",2,152
Suba,"Acacia negra, gris",61,152
Suba,Tibar extranjero,37,152
Barrios Unidos,Helecho palma,8,152
Ciudad Bolívar,Jazmin de la china,195,152
San Cristóbal,"Pino colombiano, pino de pacho, pino romerón",196,151
Kennedy,Limón,138,151
Suba,Araucaria crespa,37,151
Suba,"Cipres, Pino cipres, Pino",60,151
Suba,Guayacan de Manizales,351,151
Barrios Unidos,"Palma de cera, Palma blanca",10,151
Antonio Nariño,"Cajeto, garagay, urapo",26,151
Usaquén,"Jazmin del cabo, laurel huesito",105,150
Usaquén,Pino patula,64,150
Engativá,Guayacan de Manizales,100,150
Suba,Cerezo,2,150
Chapinero,Sietecueros real,110,149
Santa Fe,"Cajeto, garagay, urapo",164,149
San Cristóbal,"Cedro, cedro andino, cedro clavel",204,149
Usme,Eucalipto,36,149
Usme,Ligustrum,217,149
Usme,Roble,212,149
Suba,Roble,351,149
Barrios Unidos,Sauce llorón,8,149
Ciudad Bolívar,Garbancillo,195,149
Chapinero,Borrachero blanco,110,148
San Cristóbal,"Chicala, chirlobirlo, flor amarillo",204,148
San Cristóbal,"Sangregao, drago, croto",196,148
Usme,Abutilón rojo y amarillo,36,148
Tunjuelito,Pino candelabro,27,148
Puente Aranda,Eugenia,22,148
Usaquén,"Tibar, pagoda o rodamonte",38,147
Santa Fe,Alcaparro doble,164,147
San Cristóbal,Pino romeron,204,147
Kennedy,Cipres italiano,138,147
Fontibón,Fucsia arbustiva,6,147
Engativá,"Chicala, chirlobirlo, flor amarillo",100,147
Suba,"Pino colombiano, chaquiro",37,147
Teusaquillo,Pino libro,13,147
Ciudad Bolívar,Chocho,195,147
Tunjuelito,Aligustre del Japon,27,146
Kennedy,Holly liso,157,146
Teusaquillo,Alcaparro enano,13,146
Antonio Nariño,"Jazmin del cabo, laurel huesito",29,146
Ciudad Bolívar,"Chicalá, chirlobirlo, flor amarillo",203,146
Usme,"Caballero de la noche, Jazmín, Dama de noche.",36,145
Usme,Roble,342,145
Bosa,Alcaparro enano,147,145
Engativá,Carbonero rojo,96,145
Engativá,Gaque,96,145
Engativá,"Jazmin del cabo, laurel huesito",96,145
Teusaquillo,"Schefflera, Pategallina hojipequeña",13,145
Los Mártires,"Eucalipto de flor, eucalipto lavabotella, Calistemo",165,145
San Cristóbal,Ligustrum,196,144
Tunjuelito,Caucho benjamín,27,144
Tunjuelito,Cayeno,27,144
Engativá,Callistemo,96,144
Barrios Unidos,"Eucalipto de flor, eucalipto lavabotella, Calistemo",8,144
Rafael Uribe Uribe,Milflores,30,143
Rafael Uribe Uribe,"Tibar, pagoda o rodamonte",28,143
Bosa,Holly liso,158,142
Kennedy,Pajarito,23,142
Engativá,Guayabo,96,142
Suba,"Ocobo, Guayacan",53,142
Suba,Pino romeron,60,142
Suba,"Tibar, Rodamonte, Pagoda",37,142
Antonio Nariño,"Palma de yuca, Palma de bayoneta",26,142
Rafael Uribe Uribe,"Schefflera, Pategallina hojigrande",28,142
Kennedy,Hayuelo,142,141
Fontibón,Eucalipto plateado,102,141
Suba,Ciprés enano,37,141
Teusaquillo,"Caucho de la india, caucho",13,141
Teusaquillo,Cucharo,13,141
Usme,Jazmin de la china,217,140
Bosa,"Aliso, fresno, chaquiro",182,140
Kennedy,Cucharo,143,140
Suba,Guayabo,37,140
Suba,Mano de oso,60,140
Usaquén,Acacia de jardín,38,139
Usaquén,Ciro,38,139
Usaquén,Palma coquito,38,139
Usme,Corono,204,139
Usme,Cucharo,204,139
Usme,Tomatillo,204,139
Fontibón,Magnolio,102,139
Suba,"Grevilia, roble australiano",37,139
Teusaquillo,Palma coquito,13,139
Tunjuelito,Higuerillo,27,138
Bosa,Falso pimiento,158,138
Kennedy,Cipres,138,138
Suba,"Chicala, chirlobirlo, flor amarillo",2,138
Usaquén,Sombrilla japonesa,38,137
Fontibón,"Chicala, chirlobirlo, flor amarillo",109,137
Teusaquillo,Garrocho,13,137
Antonio Nariño,Metrosideros,26,137
Puente Aranda,Eugenia,24,137
Puente Aranda,Sauce llorón,16,137
Puente Aranda,Sietecueros nazareno,16,137
Rafael Uribe Uribe,Abutilón blanco,28,137
Rafael Uribe Uribe,Ligustrum,28,137
Ciudad Bolívar,Calistemo lloron,195,137
San Cristóbal,Corono,204,136
Usme,Laurel de cera (hoja pequeña),204,136
Tunjuelito,Tomatillo,27,136
Bosa,Arrayan blanco,182,136
Fontibón,Eugenia,118,136
Fontibón,Falso pimiento,118,136
Engativá,"Tibar, pagoda o rodamonte",96,136
Suba,Holly liso,60,136
Puente Aranda,"Chicala, chirlobirlo, flor amarillo",24,136
Ciudad Bolívar,Cayeno,195,136
Usaquén,Tuno esmeraldo,38,135
San Cristóbal,Mano de oso,196,135
Kennedy,Falso pimiento,163,135
Fontibón,"Nogal, cedro nogal, cedro negro",102,135
Engativá,"Pino colombiano, chaquiro",96,135
Engativá,"Pino colombiano, pino de pacho, pino romeron",98,135
Suba,Caucho sabanero,3,135
Suba,Eugenia,62,135
Puente Aranda,Cipres italiano,16,135
Chapinero,Pino libro,110,134
San Cristóbal,"Schefflera, Pategallina hojipequeña",196,134
Kennedy,"Chicala, chirlobirlo, flor amarillo",162,134
Suba,"Chicala, chirlobirlo, flor amarillo",93,134
Puente Aranda,Guayacan de Manizales,22,134
Usaquén,Mano de oso,38,133
San Cristóbal,Aguacate,196,133
Bosa,Roble australiano,182,133
Kennedy,Cariseco,138,133
Engativá,Acacia de jardín,96,133
Engativá,"Pino colombiano, pino de pacho, pino romeron",96,133
Suba,Arrayan,2,133
Suba,"Chicala, chirlobirlo, flor amarillo",62,133
Suba,Níspero,37,133
Teusaquillo,Chocho,13,133
Puente Aranda,"Cedro, cedro andino, cedro clavel",22,133
Ciudad Bolívar,Eucalipto pomarroso,193,133
Ciudad Bolívar,Falso pimiento,197,133
Usaquén,"Jazmin del cabo, laurel huesito",97,132
Usaquén,"Raque, San juanito",38,132
Usme,Mangle de tierra fria,204,132
Engativá,Cucharo,61,132
Barrios Unidos,"Cajeto, garagay, urapo",8,132
Teusaquillo,Aligustre del Japon,13,132
La Candelaria,"Jazmín del cabo, laurel huesito",191,132
Suba,Eugenia,351,131
Barrios Unidos,Magnolio,8,131
Los Mártires,"Chicalá, chirlobirlo, flor amarillo",165,131
Puente Aranda,"Sangregao, drago, croto",16,131
Usaquén,Guayacan de Manizales,105,130
Usaquén,"Jazmin del cabo, laurel huesito",94,130
Usme,Guayacan de Manizales,217,130
Engativá,Eugenia,5,130
Suba,Eugenia,355,130
Usaquén,Aligustre del Japon,38,129
Usme,"Cajeto, garagay, urapo",212,129
Usme,Guayacan de Manizales,342,129
Suba,Guayacan de Manizales,62,129
Teusaquillo,"Duraznillo, velitas",13,129
La Candelaria,Falso pimiento,191,129
Usaquén,"Ayer, hoy y mañana",38,128
Usaquén,"Chicala, chirlobirlo, flor amarillo",97,128
Bosa,"Chicala, chirlobirlo, flor amarillo",190,128
Kennedy,"Cedro, cedro andino, cedro clavel",138,128
Fontibón,Arrayan blanco,6,128
Teusaquillo,Arrayán,13,128
Puente Aranda,Calistemo llorón,16,128
Chapinero,Carbonero rojo,110,127
Santa Fe,"Chicalá, chirlobirlo, flor amarillo",164,127
San Cristóbal,Pino candelabro,196,127
