x,y,z
99555.801,113464.213,21.8382141
97912.955,93385.653,8
102244.021,116003.624,52.2614719
104022.3897,108705.7264,19.8293179
104941.52,118727.457,36.7260173
87807.74,104723.125,15.6
98916.518,106687.632,12
94968.863,99458.12,18.3301183
102552.016,112423.71,39.1578931
105090.168,115456.65,13
90061.722,105093.151,48.2415427
96859.299,95184.43,26.5788961
94690.024,99859.072,25.4776473
96241.982,110043.651,102.2869134
103618.46,108159.308,251.9032194
103822.119,117574.495,45.5547036
89395.97,101899.724,20.5895958
96102.101,101197.947,33.6354028
101862.878,103145.023,9.4
97795.362,104736.036,6
99690.456,114008.984,47.2737236
95199.189,107510.473,57.4658667
94281.208,94415.842,13
90999.331,99161.424,25.24292
96842.805,89950.727,21.6624603
93952.026,102088.932,11
96707.587,96730.208,14
101040.768,99662.757,19.2214183
97900.471,93425.108,18.5704513
100194.235,113297.783,23.9587636
91747.964,101582.378,30.1721652
99579.155,105339.587,20.8261838
99582.066,113494.96,12
96975.424,95451.776,11.2
104515.961,115459.44,20.3965028
90886.388,98334.951,23.3256371
97321.422,117944.14,15.5
97739.522,91650.803,85.1702823
99291.37,107097.40499999,13
94321.182,102314.825,17
105365.321,113561.413,42.0711463
92997.751,104712.083,19.5516752
100735.8161,122477.5046,21.0556502
94349.738,94389.341,14.4
99583.418,106884.281,8
96441.11,114355.63,21.0556502
91684.45,99845.959,50.7051702
91661.8804,107457.6705,10
101394.133,112964.715,36.8277899
96001.521,111063.628,44.7315448
90919.497,106152.057,33.4711421
93482.8,110674.368,124.8471727
101386.6841,112926.0812,13
98901.309,107187.448,169.9890603
96834.307,115500.311,13
94798.122,86924.298,29.9193603
101079.3825,113386.8308,14
95283.253,91109.645,16.8
97639.406,114912.293,44.4848748
91593.633,101274.072,195.9280932
95897.375,115154.286,15
93233.296,112601.885,9
102808.462,107113.696,124.7470145
89989.264,99964.848,24.081954
103884.064,108696.087,79.901859
102790.888,111919.098,21.329357
105331.033,112878.152,16.9
90559.191,103727.3549,29.767395
94641.79,92328.87,39.7620464
104466.511,123130.087,88.7190856
99509.78,113295.698,26.6224987
100629.451,114771.217,26.6157257
97605.046,92020.757,112.3579621
91961.0446,100997.5517,17
95321.719,112907.115,36.164507
101449.675,99087.967,9
95563.511,106328.046,39.6524964
95800.573,114945.412,23.1164751
103785.353,108171.556,86.1851346
98132.749,92619.773,22.528781
92913.886,97979.1,50.6618531
96578.322,117681.051,24.1864316
92202.205,101413.117,9
93181.673,100671.582,34.5916078
97317.392,90431.243,17
91740.041,96922.751,16.3
104416.786,122812.274,79.7293078
95595.419,102099.165,27.1628857
96571.675,117456.448,21.0556502
95603.61,96400.341,14
94781.717,111740.965,16
96726.384,114829.009,17
98968.4092,94752.0818,15
92934.056,114365.99,342.5443467
91457.9739,109223.7377,24.7556926
101844.258,110714.39,75.5156726
100951.264,117511.618,12.7
85004.409,101610.561,30.5784332
90530.4265,103625.133,24.7556926
95778.856,90342.506,12
101854.614,103104.508,50.2455548
92251.097,103335.809,17
98901.7547,102468.5908,38.9051521
95726.488,113555.807,14.5
101417.835,99052.602,8.3
99094.957,116309.638,17
102465.484,118893.984,19.8293179
99803.6703,114255.3667,25.9986318
100064.354,104006.784,12
102537.749,114151.046,18.7552202
100743.027,106220.012,23.9804694
104441.159,123099.825,55.0692638
96756.128,111929.292,104.2696683
103744.033,111737.142,20.894187
97018.545,95748.671,9.7
104043.859,120875.045,32.1855086
99064.8642,97747.4685,17.3826279
99797.3655,114262.9615,81.4368294
94857.215,89600.909,7
96211.922,111287.644,44.5129826
105020.134,114076.153,102.6492544
99881.963,103813.119,52.7192568
104345.925,113090.868,33.5341123
97840.206,93802.862,26.091105
98839.422,107735.543,14
102566.824,116543.479,16
104867.565,111054.052,91.6022425
102025.173,103546.424,17
96754.252,95116.549,59.5393587
100130.3,97949.4,91.2265831
95083.128,89593.558,9
104296.861,124119.827,85.000657
94849.926,103083.468,19.8742001
101300.006,112179.4,70.4343851
104276.896,112000.529,45.228192
96856.556,95146.369,12.5
101380.349,99622.173,9
97703.082,95706.143,36.7366083
89561.706,101726.846,18.2573602
102069.277,112744.69,64.02984
91207.189,100944.505,10
93452.396,105368.824,9
102001.077,102907.453,13
103783.324,118856.189,62.1517216
102065.519,110357.702,36.9921357
99707.469,113978.702,42.3644814
96492.45309858,96704.43019708,81.4368294
98051.952,118013.568,29.8925275
103607.848,118569.621,36.8655554
91325.96,105417.69,14
92117.984,100665.704,44.6271516
103015.65,112229.262,13.3
96580.421,90030.758,47.408227
105392.513,111192.818,77.4043077
99560.356,106840.963,42.5417749
102057.507,113808.75,20.209
100632.851,96775.567,35.4094963
101828.484,103193.62,14.5
101589.585,109670.813,17.6217663
95960.947,110038.572,40.5199156
95564.213,113565.785,31.5959713
102901.636,125134.708,22.7603766
101902.642,108128.791,17
103629.486,108232.454,6.8
92860.245,103503.332,66.1869599
102028.502,112762.443,11
95862.486,113043.97,109.3355528
104914.485,118028.296,29.1662657
97691.082,96079.39,15
92025.9,94947.54,12.4922288
97839.877,114775.845,162.0891645
103759.933,108154.961,10
99364.617,113245.018,9
94011.267,109580.725,90.5414194
99385.175,114976.854,12.8
101766.659,103186.157,7.5
92461.867,103065.657,21.1592377
98164.037,99961.261,59.8040528
94259.821,99652.926,31.0397327
97247.676,108129.105,15
98315.276,93013.958,40.3185251
90925.4536,100292.499,7.1
97385.388,111944.725,43.2237772
97756.337,95811.388,15
101276.959,103048.112,75.1842641
94348.8907,99139.7503,18.6052272
98863.238,107286.348,270.1212133
100309.8611,111689.2628,10
94145.746,97632.323,34.9995188
94656.157,92445.509,103.0310995
99543.677,114028.86,8.4
104072.265,108907.876,43.7284469
93701.558,108863.948,69.4849886
98940.43,93672.589,13.5
102907.914,115275.467,14.6
104588.964,123873.039,21.0022717
97366.487,112802.611,22.1628413
101537.506,98910.215,14
96256.48413859,112855.1868672,17
99553.845,113497.234,13
97999.629,93145.252,24.9083368
104630.135,124291.352,39.9829312
102677.088,110861.292,22.741641
100006.888,115236.373,98.4922865
101611.726,118533.5,27.5581226
95822.194,97850.374,88.7190856
105202.905,114536.683,45.0482941
100347.295,114022.453,20.3659266
97545.394,97388.155,38.3700269
86055.382,100875.559,7
101718.014,103197.537,66.6317793
99393.55,105451.306,13.5
102560.914,111685.984,62.1084485
100277.935,97717.451,13
106245.985,114115.381,163.7757723
98974.629,89549.967,7.6
105450.764,112765.901,39.0034977
94030.745,95769.509,13
97224.512,113876.156,25.4540069
99824.194,104423.31399999,51.673997
91847.23,101374.665,7.2
97578.78,91408.747,10.2
89560.34,101070.56,11
98752.578,114195.568,8
100346.304,116323.951,171.2734445
93623.9651,97129.283,13.9
101278.887,113510.584,76.3695692
98172.674,117928.762,13
95394.608,101684.093,36.8576952
94162.72,110010.45,10
88478.8577,101373.9637,15
105719.534,118383.3,9.4
96151.106,112938.667,22.3267538
95316.693,107618.674,14.3
103183.207,119040.526,28.712385
99593.734,113485.199,28.1655957
91325.797,110829.703,49.2528193
87532.498,104678.44,16
95745.24,105714.59,70.8507672
103174.794,105961.328,202.3525551
102630.809,111331.772,17
104625.943,110545.047,13
94689.767,99441.869,11
101757.121,111351.009,27.632353
105802.551,117332.704,38.5959941
103946.278,110454.461,23.8457251
99767.8093,114007.8519,13
97553.402,88150.439,8
97852.777,104150.279,18.1516339
98886.747,116916.019,18.6184212
93116.615,110844.666,8.7
89313.302,105974.591,14
103651.981,124669.525,19.9720779
90991.393,105447.711,7
96756.1168,100014.4626,19.8293179
100045.4699,99304.4829,15
94042.1371,86422.0707,12
97620.958,106268.012,13
102751.425,108826.165,19.4701918
91780.17,101338.734,19.8293179
94394.923,100200.965,51.2755815
98906.548,95574.351,16
104466.6207,120507.0409,32.3215468
90292.68,110486.671,28.503662
99776.32,116066.234,7
90541.0922,103610.2193,14.9
98130.649,103774.883,17.6359646
98990.618,116875.454,58.6472462
96764.168,115713.699,22.6396485
95137.459,117377.373,131.4837947
99685.5502,114033.553,21.0556502
94788.322,108208.858,17
97107.588,95810.964,16
100545.581,97150.677,8.7
103456.522,115977.33,24.5320389
92892.937,111406.422,197.9804573
102257.892,117674.231,176.6189699
105754.501,118203.835,10
99598.323,111043.31,17
91347.957,98091.217,36.1578718
104413.257,110049.712,60.9015909
94074.8552,108608.799,13
101843.575,103235.667,43.1466193
94702.747,105365.144,58.576952
97530.596,101563.345,13
89856.071,102204.865,30.4278604
102041.157,112297.214,20.1592625
102960.976,116700.861,17
97233.021,116530.481,24.6935325
96307.83,110043.355,14.9
91639.51,99792.14,3.8178847
98236.167,99831.952,7.3
101538.245,111662.33,33.3846902
103729.053,118385.27,63.7232771
95563.58,96333.952,8
96656.23,113716.143,39.2012537
104913.596,114788.684,29.4774084
101849.964,103130.813,17
97452.352,94140.604,21.4612577
101266.845,112143.638,17.499501
100886.914,117384.634,40.7712443
94906.157,89665.606,10
95835.736,91536.725,47.525261
96313.669,115318.057,30.9427563
99490.637,111719.238,29.6434444
95164.811,87121.28,18.0477002
99974.519,113928.858,51.1445223
101273.455,112824.928,51.8287243
91395.675,108030.352,42.3317699
104129.945,117486.023,13.2
91490.277,105374.056,41.7494418
106142.575,117835.151,30.9272022
100864.806,111804.798,75.7184211
97092.629,93881.716,36
97347.309,101287.707,41.5192165
97627.836,96435.826,18.7564435
94048.9308,108602.2314,11
100275.689,103762.649,28.394419
105430.69,114378.908,5
101723.58,103198.973,35.4801894
97396.756,95295.978,113.8867589
97284.622,113253.226,50.5457408
96869.249,118325.255,10.5
106111.769,116750.5,15
100147.447,108331.199,41.830551
102462.657,106181.462,57.1411893
93029.218,104083.085,26.0478795
95389.306,89275.31,13
85331.7394,101530.3221,10
99794.2067,114209.0399,14
102937.563,113611.689,39.9888529
99771.116,113385.071,49.2474683
96115.734,93194.685,8
93277.406,108689.995,17.5578798
96683.827,106485.312,19.8293179
93000.195,103555.37,18.2573602
100104.242,109239.051,92.0966171
88863.805,102392.79,15
91751.981,109771.311,19.6066856
95748.163,96308.128,10.2
92883.74,104074.473,12.6
103246.527,110478.609,11
98084.101,91450.972,7
93550.597,101627.168,30.0419901
96277.816,89465.487,49.6006963
